head_idx,original_accuracy,perturbed_accuracy,performance_drop,contribution_score,rank
2,0.5,0.16666666666666666,0.33333333333333337,0.33333333333333337,1
13,0.5,0.16666666666666666,0.33333333333333337,0.33333333333333337,2
20,0.5,0.16666666666666666,0.33333333333333337,0.33333333333333337,3
25,0.5,0.16666666666666666,0.33333333333333337,0.33333333333333337,4
27,0.5,0.16666666666666666,0.33333333333333337,0.33333333333333337,5
4,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666669,6
9,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666669,7
14,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666669,8
16,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666669,9
19,0.5,0.3333333333333333,0.16666666666666669,0.16666666666666669,10
0,0.5,0.5,0.0,0.0,11
3,0.5,0.5,0.0,0.0,12
5,0.5,0.5,0.0,0.0,13
6,0.5,0.5,0.0,0.0,14
7,0.5,0.5,0.0,0.0,15
8,0.5,0.5,0.0,0.0,16
10,0.5,0.5,0.0,0.0,17
11,0.5,0.5,0.0,0.0,18
12,0.5,0.5,0.0,0.0,19
15,0.5,0.5,0.0,0.0,20
18,0.5,0.5,0.0,0.0,21
21,0.5,0.5,0.0,0.0,22
24,0.5,0.5,0.0,0.0,23
26,0.5,0.5,0.0,0.0,24
28,0.5,0.5,0.0,0.0,25
29,0.5,0.5,0.0,0.0,26
30,0.5,0.5,0.0,0.0,27
31,0.5,0.5,0.0,0.0,28
1,0.5,0.6666666666666666,-0.16666666666666663,-0.16666666666666663,29
17,0.5,0.6666666666666666,-0.16666666666666663,-0.16666666666666663,30
22,0.5,0.6666666666666666,-0.16666666666666663,-0.16666666666666663,31
23,0.5,0.6666666666666666,-0.16666666666666663,-0.16666666666666663,32
